"product","release","doi","release_generated","site","trapping_rows","sorting_rows","identification_rows","raw_md5"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","ABBY",1509,377,426,"a3988a8214d553a7e2610b4ac17225a8"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","BARR",648,130,227,"178f842fd649cad16d39c8b27f97df25"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","BART",1775,1003,3000,"5491c24f0e804c2f5bc0bc480160925a"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","BLAN",2042,779,1465,"94703495b1766fc396d18aef751cb632"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","BONA",2378,1344,5905,"629be8db1b3b38862b1be85525941717"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","CLBJ",4926,2097,7098,"7d9dc278e36f9083387f4acd663f3f1c"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","CPER",3481,999,2148,"1c18fb360c9dcc58d6297ac4b95d089a"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","DCFS",1168,522,1820,"e08c0250cc41e5d0497c29b53461d5d0"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","DEJU",1209,705,3086,"50426b67cfc444a3e8ba48d08c879a93"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","DELA",1377,1132,6426,"aff6b25e1860e458b7cef096ab3e522e"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","DSNY",2551,1967,10984,"784614048a5226919d1c4e60ba4797ae"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","GRSM",2101,525,658,"1697cebd6395bba23bf6d03503a039db"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","GUAN",4712,2824,6899,"f811df7a5012068841f7db039fa01561"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","HARV",3914,2474,9109,"5ff210cf578382ece738fd58458771a1"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","HEAL",1436,904,3845,"f9812d9d2c4e58ca9948572a384e88c9"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","JERC",2594,1594,5192,"c1d9135418ccd66e619bf8dbb2b98b02"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","JORN",2300,396,605,"486efec958570cc8fd39f0798c2f2cb5"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","KONA",1258,551,2419,"3b89bbbadaad54f55afed7244093fe08"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","KONZ",3753,1034,2627,"11d0438ad0f104a26561426d8cd25585"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","LAJA",2283,1156,4089,"bde6f75b787dccd62dade681bb782ba7"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","LENO",2168,1744,11488,"0e9cf5d6cef1e87c00937588afab58f7"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","MLBS",1590,267,331,"c7cba8ec763c91145da7fa55c2f80868"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","MOAB",1703,314,540,"e24185e4d450166495cd37a25bd2ad89"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","NIWO",2034,773,3121,"73037b4231569647b5ba927308bbb90e"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","NOGP",1397,670,1750,"b7b75b6cd2dc1321b6e4fb4cea0864bc"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","OAES",2503,659,2513,"9bf3774ba2f02154567e189200edf497"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","ONAQ",3968,954,1445,"c76e924a81968beca347c3f71b04aac2"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","ORNL",4890,2439,4169,"1c03f744f729fb727621ca8d280d74bb"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","OSBS",5337,4400,20074,"32cd80a740626832e6dcb9a0a7e4faa8"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","PUUM",1598,124,127,"4546e2c2ad61601e1543e1f84f99cdca"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","RMNP",1003,267,454,"a0fbce03b2050a6fa337e06ea61c5b78"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","SCBI",4991,1452,1851,"679b61e3a3ce38d68abf1190bacb2bf0"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","SERC",2121,1310,3947,"79bf41ac70bc714ff5edeadcc24c1a7e"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","SJER",4521,1086,1316,"7dfe29b67b6b0a74f2c4af7558e25562"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","SOAP",1540,259,351,"0483b15ed23f2f82e368e28df8e00787"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","SRER",4624,794,1231,"0efe39a819875181cba2e4ba267f5dab"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","STEI",1520,1060,7270,"4fc99b58929ff5758b9d2cbf342eb96b"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","STER",1490,496,1298,"426f79eab08926bc1c3e988622685a74"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","TALL",5321,3022,8081,"fcf49901b71bd6dca54305315bb712fa"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","TEAK",820,176,416,"ff2befbcc19a4829fa2ace6bdbc70af1"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","TOOL",1922,729,2132,"aa0b5de4d592cef7f3505fb622d7cf27"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","TREE",1548,1047,6798,"f8da48390a38b903c4e82ac959b474ce"
"DP1.10043.001","RELEASE-2026","10.48443/rmw1-me46","2026-01-23","UKFS",1641,1003,2971,"021c3ae85a7d347dcc9b92ee2cb0c1c1"
